"commodity","marketCenter","variety","arrrivals","modalPrice","minMaxPrice"
"Capsicum","Chengannur ,Kerala","Other","0.6 Tonnes","6000.00","5600.00 / 6200.00"
"Potato","Payagpur ,Uttar Pradesh","Red","2 Tonnes","800.00","600.00 / 1000.00"
"Cucumber","Thrippunithura ,Kerala","Cucumbar","0.5 Tonnes","2600.00","2400.00 / 3000.00"
"Onion","Kangra(Nagrota Bagwan) ,Himachal Pradesh","1st Sort","0.3 Tonnes","4500.00","4400.00 / 4600.00"
"Carrot","Ashahipora (Anantnagh) ,Jammu and Kashmir","Other","0.9 Tonnes","2200.00","2000.00 / 2400.00"
"Capsicum","Barnala ,Punjab","Other","0.77 Tonnes","2400.00","2000.00 / 2800.00"
"Brinjal","Barnala ,Punjab","Other","0.45 Tonnes","1050.00","900.00 / 1200.00"
"Lemon","Shadabad ,Uttar Pradesh","Lemon","0.2 Tonnes","2510.00","2410.00 / 2610.00"
"Carrot","Neyyatinkara ,Kerala","Other","0.1 Tonnes","3400.00","3300.00 / 3500.00"
"Onion","Haathras ,Uttar Pradesh","Red","1 Tonnes","3800.00","3600.00 / 4000.00"
"Onion","Pattikonda ,Andhra Pradesh","Local","1 Tonnes","3000.00","2500.00 / 3500.00"
"Brinjal","Kantabaji ,Odisha","Other","0.04 Tonnes","3000.00","2000.00 / 3000.00"
"Tomato","Mihipurwa ,Uttar Pradesh","Deshi","25 Tonnes","1250.00","1200.00 / 1300.00"
"Cauliflower","Tilhar ,Uttar Pradesh","Cauliflower","4.2 Tonnes","300.00","250.00 / 350.00"
"Tomato","Tikonia ,Uttar Pradesh","Tomato","0.3 Tonnes","800.00","800.00 / 800.00"
"Guar","Udaipur(F&V) ,Rajasthan","Other","0.1 Tonnes","4000.00","4000.00 / 4000.00"
"Bajra","Beawar ,Rajasthan","Other","12.8 Tonnes","1275.00","1250.00 / 1300.00"
"Tomato","Chelakkara ,Kerala","Other","0.2 Tonnes","2300.00","2200.00 / 2400.00"
"Bhindi","Banga ,Punjab","Other","0.1 Tonnes","6033.00","6033.00 / 6033.00"
"Lemon","Kathua ,Jammu and Kashmir","Other","0.5 Tonnes","5750.00","5500.00 / 6000.00"
"Brinjal","Kangra(Nagrota Bagwan) ,Himachal Pradesh","Arkasheela Mattigulla","0.1 Tonnes","1550.00","1500.00 / 1600.00"
"Cauliflower","Meham ,Haryana","Other","1 Tonnes","550.00","500.00 / 600.00"
"Gur","Badayoun ,Uttar Pradesh","Red","2 Tonnes","2925.00","2890.00 / 2960.00"
"Drumstick","Thrippunithura ,Kerala","Drumstick","0.2 Tonnes","12500.00","12000.00 / 13000.00"
"Tomato","Palayam ,Kerala","Other","50 Tonnes","1750.00","1700.00 / 1800.00"
"Kinnow","Kangra ,Himachal Pradesh","Other","1.4 Tonnes","2250.00","2000.00 / 2500.00"
"Yam","Kalpetta ,Kerala","Other","14 Tonnes","1000.00","900.00 / 1000.00"
"Carrot","Tilhar ,Uttar Pradesh","Carrot","0.3 Tonnes","500.00","485.00 / 525.00"
"Onion","Teliamura ,Tripura","Nasik","10 Tonnes","4450.00","4400.00 / 4500.00"
"Banana","Rajpipla ,Gujarat","Other","47.5 Tonnes","800.00","500.00 / 1000.00"
"Pumpkins","Safdarganj ,Uttar Pradesh","Pumpkin","0.7 Tonnes","1150.00","1109.00 / 1200.00"
"Orange","Nabha ,Punjab","Other","0.1 Tonnes","6000.00","4500.00 / 6600.00"
"Carrot","Bhagta Bhai Ka ,Punjab","Other","0.1 Tonnes","780.00","780.00 / 780.00"
"Cauliflower","Thrippunithura ,Kerala","Cauliflower","0.5 Tonnes","4500.00","4000.00 / 5000.00"
"Onion","Padra ,Gujarat","Other","5.6 Tonnes","4000.00","3750.00 / 4250.00"
"Lemon","Mansa(Manas Veg Yard) ,Gujarat","Other","0.01 Tonnes","4500.00","4000.00 / 5000.00"
"Bitter Gourd","Udaipur(F&V) ,Rajasthan","Other","0.5 Tonnes","3000.00","2500.00 / 3500.00"
"Onion","Hindol ,Odisha","Other","2.5 Tonnes","4500.00","4400.00 / 4600.00"
"Cabbage","Pune(Khadiki) ,Maharashtra","Other","2 Tonnes","650.00","500.00 / 800.00"
"Cauliflower","Palayam ,Kerala","Other","5 Tonnes","1500.00","1400.00 / 1600.00"
"Beetroot","Aralamoodu ,Kerala","Beetroot","0.3 Tonnes","4000.00","3000.00 / 4000.00"
"Onion","Perambra ,Kerala","Other","0.9 Tonnes","5200.00","5000.00 / 5300.00"
"Ridge gourd","Ramanagara ,Karnataka","Ridgeguard(Tori)","1 Tonnes","2200.00","2000.00 / 2500.00"
"Rice","Alibagh ,Maharashtra","Other","1 Tonnes","2200.00","2000.00 / 2500.00"
"Onion","Palayam ,Kerala","Other","50 Tonnes","4900.00","4800.00 / 5000.00"
"Gur","Mihipurwa ,Uttar Pradesh","Yellow","40 Tonnes","2650.00","2600.00 / 2700.00"
"Onion","Lakhimpur ,Uttar Pradesh","Red","38 Tonnes","3170.00","3150.00 / 3210.00"
"Cucumber","Teliamura ,Tripura","Cucumbar","0.5 Tonnes","3200.00","3000.00 / 3500.00"
"Banana","Meham ,Haryana","Other","1.1 Tonnes","1200.00","1200.00 / 1200.00"
"Beetroot","Harippad ,Kerala","Other","0.66 Tonnes","3000.00","3000.00 / 3500.00"
"Paddy","Safdarganj ,Uttar Pradesh","Common","5 Tonnes","1868.00","1860.00 / 1870.00"
"Chana","Jhansi ,Uttar Pradesh","Desi (Whole)","4.5 Tonnes","5125.00","5020.00 / 5250.00"
"Brinjal","Boudh ,Odisha","Other","0.3 Tonnes","2000.00","1600.00 / 2000.00"
"Cauliflower","Ashahipora (Anantnagh) ,Jammu and Kashmir","Other","0.7 Tonnes","2400.00","2200.00 / 2600.00"
"Castor Seed","Jambusar(Kaavi) ,Gujarat","Other","1 Tonnes","3800.00","3500.00 / 3900.00"
"Onion","Shadabad ,Uttar Pradesh","Red","1.1 Tonnes","3320.00","3220.00 / 3420.00"
"Carrot","Chamkaur Sahib ,Punjab","Other","2 Tonnes","550.00","500.00 / 600.00"
"Brinjal","Udaipur(F&V) ,Rajasthan","Other","3.9 Tonnes","1600.00","1000.00 / 2200.00"
"Bhindi","Thrippunithura ,Kerala","Bhindi","0.4 Tonnes","6000.00","5500.00 / 6500.00"
"Cauliflower","Ahmedgarh ,Punjab","Other","0.2 Tonnes","700.00","600.00 / 800.00"
"Wheat","Bhehjoi ,Uttar Pradesh","Dara","5.5 Tonnes","1625.00","1600.00 / 1650.00"
"Cabbage","Safdarganj ,Uttar Pradesh","Cabbage","0.6 Tonnes","520.00","500.00 / 540.00"
"Potato","Chengannur ,Kerala","Potato","2 Tonnes","2500.00","2400.00 / 2700.00"
"Onion","Badayoun ,Uttar Pradesh","Nasik","15 Tonnes","2800.00","2750.00 / 2900.00"
"Bitter Gourd","Harippad ,Kerala","Other","0.67 Tonnes","4000.00","4000.00 / 4500.00"
"Guar","Damnagar ,Gujarat","Gwar","0.03 Tonnes","2100.00","2000.00 / 2200.00"
"Maize","Choubepur ,Uttar Pradesh","Yellow","29.8 Tonnes","1340.00","1280.00 / 1400.00"
"Kinnow","Kangra ,Himachal Pradesh","Other","1.4 Tonnes","2250.00","2000.00 / 2500.00"
"Apple","Baraut ,Uttar Pradesh","Kasmir/Shimla - II","0.3 Tonnes","4800.00","4700.00 / 4900.00"
"Soyabean","Himatnagar ,Gujarat","Yellow","1 Tonnes","4550.00","4500.00 / 4600.00"
"Potato","Sikandraraau ,Uttar Pradesh","Desi","4.5 Tonnes","535.00","470.00 / 645.00"
"Potato","Maur ,Punjab","Other","1 Tonnes","600.00","500.00 / 700.00"
"Banana","Safdarganj ,Uttar Pradesh","Banana - Ripe","0.5 Tonnes","2350.00","2300.00 / 2400.00"
"Apple","Kathua ,Jammu and Kashmir","Delicious","0.6 Tonnes","10000.00","9000.00 / 11000.00"
"Cucumber","Teliamura ,Tripura","Cucumbar","0.5 Tonnes","3200.00","3000.00 / 3500.00"
"Mustard Oil","Haathras ,Uttar Pradesh","Mustard Oil","15 Tonnes","13100.00","13000.00 / 13300.00"
"Guar","Gondal(Veg.market Gondal) ,Gujarat","Gwar","0.64 Tonnes","6000.00","4000.00 / 8000.00"
"Carrot","Kangra(Baijnath) ,Himachal Pradesh","Carrot","0.8 Tonnes","1700.00","1600.00 / 1700.00"
"Maize","Jambusar ,Gujarat","Other","0.1 Tonnes","1700.00","1600.00 / 1800.00"
"Cauliflower","Nahan ,Himachal Pradesh","Other","0.5 Tonnes","450.00","400.00 / 500.00"
"Onion","Badayoun ,Uttar Pradesh","Nasik","15 Tonnes","2800.00","2750.00 / 2900.00"
"Onion","Chelakkara ,Kerala","Other","0.25 Tonnes","3900.00","3800.00 / 4000.00"
"Paddy","Madathukulam ,Tamil Nadu","Other","NR","1765.00","1750.00 / 1775.00"
"Cauliflower","Damnagar ,Gujarat","Cauliflower","0.05 Tonnes","500.00","400.00 / 600.00"
"Grapes","Nabha ,Punjab","Other","5.3 Tonnes","5000.00","3500.00 / 8000.00"
"Mustard","Gangapurcity(Old Lal mandi) ,Rajasthan","Other","6.9 Tonnes","5203.00","4810.00 / 5595.00"
"Tomato","Doraha ,Punjab","Other","1.06 Tonnes","1634.00","1200.00 / 2000.00"
"Carrot","Chengannur ,Kerala","Other","1.2 Tonnes","3000.00","2900.00 / 3200.00"
"Carrot","Nahan ,Himachal Pradesh","Other","0.41 Tonnes","1100.00","1000.00 / 1200.00"
"Gur","Mihipurwa ,Uttar Pradesh","Yellow","40 Tonnes","2650.00","2600.00 / 2700.00"
"Pumpkins","Safdarganj ,Uttar Pradesh","Pumpkin","0.7 Tonnes","1150.00","1109.00 /  1200.00"
"Kinnow","Chamkaur Sahib ,Punjab","Other","2.2 Tonnes","1550.00","1500.00 / 1600.00"
"Bhindi","Padra ,Gujarat","Other","1 Tonnes","3900.00","3500.00 / 4250.00"
"Onion","Payagpur ,Uttar Pradesh","Red","1.2 Tonnes","2800.00","2600.00 / 3100.00"
"Paddy","Nandikotkur ,Andhra Pradesh","Sona","NR","1800.00","1800.00 / 1800.00"
"Carrot","Ramanagara ,Karnataka","Carrot","1 Tonnes","1400.00","1200.00 / 1600.00"
"Tomato","Haathras ,Uttar Pradesh","Deshi","2.5 Tonnes","750.00","700.00 / 900.00"
"Drumstick","Harippad ,Kerala","Other","0.57 Tonnes","10000.00","10000.00 / 11500.00"
"Turmeric","Erode ,Tamil Nadu","Bulb","63.21 Tonnes","7715.00","7485.00 / 7945.00"
"Cucumber","Banga ,Punjab","Other","0.8 Tonnes","2174.00","1500.00 / 2180.00"
"Carrot","Kathua ,Jammu and Kashmir","Other","3.4 Tonnes","1200.00","1100.00 / 1300.00"
"Carrot","Padra ,Gujarat","Other","0.9 Tonnes","1050.00","900.00 / 1200.00"
"Cabbage","Hasanpur ,Uttar Pradesh","Cabbage","0.03 Tonnes","920.00","900.00 / 940.00"
"Ash Gourd","Perambra ,Kerala","Other","0.2 Tonnes","2200.00","2100.00 / 2300.00"
"Guar","Udaipur(F&V) ,Rajasthan","Other","0.1 Tonnes","4000.00","4000.00 / 4000.00"
"Carrot","Kalanaur ,Punjab","Other","0.1 Tonnes","1250.00","1200.00 / 1300.00"
"Cauliflower","Gurgaon ,Haryana","Other","14.2 Tonnes","400.00","300.00 / 500.00"
"Potato","Boudh ,Odisha","Other","0.5 Tonnes","1400.00","1400.00 / 1600.00"
"Cotton","Jambusar(Kaavi) ,Gujarat","Other","1 Tonnes","4900.00","4600.00 / 5100.00"
"Bhindi","Aralamoodu ,Kerala","Bhindi","0.8 Tonnes","3000.00","3000.00 / 3000.00"
"Gur","Mihipurwa ,Uttar Pradesh","Yellow","40 Tonnes","2650.00","2600.00 / 2700.00"
"Potato","Haridwar Union ,Uttarakhand","Other","24.5 Tonnes","550.00","500.00 / 600.00"
"Onion","Safdarganj ,Uttar Pradesh","Red","0.6 Tonnes","3250.00","3200.00 / 3300.00"
"Tomato","Bariwala ,Punjab","Other","0.04 Tonnes","900.00","900.00 / 900.00"
"Papaya","Shahpur ,Uttar Pradesh","Papaya","0.8 Tonnes","550.00","540.00 / 560.00"
"Bitter Gourd","Udaipur(F&V) ,Rajasthan","Other","0.5 Tonnes","3000.00","2500.00 / 3500.00"
"Pomegranate","Shadabad ,Uttar Pradesh","Pomogranate","0.5 Tonnes","4950.00","4850.00 / 5050.00"
"Carrot","Haridwar Union ,Uttarakhand","Other","1.8 Tonnes","900.00","800.00 / 1000.00"
"Cauliflower","Bariwala ,Punjab","Other","0.04 Tonnes","200.00","200.00 / 200.00"
"Banana","Meham ,Haryana","Other","1.1 Tonnes","1200.00","1200.00 / 1200.00"
"Onion","Badayoun ,Uttar Pradesh","Nasik","15 Tonnes","2800.00","2750.00 / 2900.00"
"Brinjal","Bhanjanagar ,Odisha","Other","0.1 Tonnes","2200.00","2000.00 / 2400.00"
"Potato","Gurgaon ,Haryana","Other","76.3 Tonnes","450.00","400.00 / 500.00"
"Cucumber","Nabha ,Punjab","Other","0.9 Tonnes","2400.00","1700.00 / 3000.00"
"Groundnut","Dhoraji ,Gujarat","G20","5.9 Tonnes","5655.00","4750.00 / 5880.00"
"Potato","Dhuri ,Punjab","Local","0.9 Tonnes","650.00","500.00 / 700.00"
"Carrot","Tikonia ,Uttar Pradesh","Carrot","0.2 Tonnes","910.00","900.00 / 920.00"
"Watermelon","Barnala ,Punjab","Other","0.14 Tonnes","1750.00","1750.00 / 1750.00"
"Onion","Doraha ,Punjab","Other","0.94 Tonnes","3694.00","3000.00 / 3800.00"
"Banana","Lakhimpur ,Uttar Pradesh","Banana - Ripe","180 Tonnes","2150.00","2100.00 / 2190.00"
"Potato","Ramanagara ,Karnataka","Potato","1 Tonnes","1800.00","1500.00 / 2000.00"
"Pomegranate","Kangra ,Himachal Pradesh","Other","0.6 Tonnes","12500.00","11000.00 / 13000.00"
"Gur","Choubepur ,Uttar Pradesh","Yellow","1.8 Tonnes","3400.00","3350.00 / 3450.00"
"Potato","Banga ,Punjab","Other","10.4 Tonnes","601.00","600.00 / 747.00"
"Gur","Safdarganj ,Uttar Pradesh","Yellow","0.5 Tonnes","3220.00","3200.00 / 3240.00"
"Chana","Lakhimpur ,Uttar Pradesh","Desi (Whole)","2.5 Tonnes","5270.00","5150.00 / 5300.00"
"Carrot","Chelakkara ,Kerala","Other","0.15 Tonnes","4600.00","4500.00 / 4800.00"
"Ridge gourd","Ramanagara ,Karnataka","Ridgeguard(Tori)","1 Tonnes","2200.00","2000.00 / 2500.00"
"Cauliflower","Kalanaur ,Punjab","Other","0.1 Tonnes","700.00","600.00 / 800.00"
"Potato","Maur ,Punjab","Other","1 Tonnes","600.00","500.00 / 700.00"
"Tomato","Kangra ,Himachal Pradesh","Other","2.2 Tonnes","2100.00","2000.00 / 2200.00"
"Carrot","Kot ise Khan ,Punjab","Other","1 Tonnes","900.00","800.00 / 1000.00"
"Capsicum","Chhachrauli ,Haryana","Other","0.04 Tonnes","3000.00","3000.00 / 3000.00"
"Bajra","Bhehjoi ,Uttar Pradesh","Deshi","9 Tonnes","1175.00","1150.00 / 1200.00"
"Pumpkins","Kathua ,Jammu and Kashmir","Other","2.3 Tonnes","1300.00","1200.00 / 1400.00"
"Kinnow","Kangra(Nagrota Bagwan) ,Himachal Pradesh","Kinnow","9 Tonnes","2200.00","2000.00 / 2400.00"
"Potato","Padra ,Gujarat","Other","16.8 Tonnes","950.00","750.00 / 1100.00"
"Bhindi","Palayam ,Kerala","Other","10 Tonnes","3800.00","3700.00 / 3900.00"
"Lemon","Harippad ,Kerala","Other","0.77 Tonnes","5000.00","5000.00 / 5500.00"
"Papaya","Ramanagara ,Karnataka","Papaya","NR","1000.00","800.00 / 1200.00"
"Cabbage","Khunthabandha ,Odisha","Other","0.1 Tonnes","1400.00","1400.00 / 1600.00"
"Ginger","Pulpally ,Kerala","Other","2 Tonnes","1450.00","1350.00 / 1550.00"
"Chana","Nandikotkur ,Andhra Pradesh","Gulabi","NR","4620.00","4620.00 / 4620.00"
"Cabbage","Safdarganj ,Uttar Pradesh","Cabbage","0.6 Tonnes","520.00","500.00 / 540.00"
"Cauliflower","Bhogpur ,Punjab","Other","0.5 Tonnes","300.00","300.00 / 300.00"
"Capsicum","Chamkaur Sahib ,Punjab","Other","0.3 Tonnes","3950.00","3900.00 / 4000.00"
"Garlic","Bariwala ,Punjab","Average","NR","2500.00","2500.00 / 2500.00"
"Banana","Harippad ,Kerala","Nendra Bale","0.76 Tonnes","2500.00","2500.00 / 3000.00"
"Bhindi","Pune(Khadiki) ,Maharashtra","Other","NR","2800.00","2600.00 / 3000.00"
"Bottle Gourd","Kangra ,Himachal Pradesh","Other","0.4 Tonnes","2100.00","2000.00 / 2200.00"
"Pumpkins","Tikonia ,Uttar Pradesh","Pumpkin","0.5 Tonnes","1160.00","1140.00 / 1170.00"
"Pomegranate","Nahan ,Himachal Pradesh","Other","0.05 Tonnes","5700.00","5500.00 / 6000.00"
"Lemon","Kangra(Baijnath) ,Himachal Pradesh","Lemon","1 Tonnes","5000.00","5000.00 / 5000.00"
"Mustard","Gangapurcity(Old Lal mandi) ,Rajasthan","Other","6.9 Tonnes","5203.00","4810.00 / 5595.00"
"Potato","Jhansi ,Uttar Pradesh","Desi","196 Tonnes","570.00","520.00 / 610.00"
"Apple","Kangra ,Himachal Pradesh","Other","0.4 Tonnes","12500.00","9000.00 / 16000.00"
"Brinjal","Udaipur(F&V) ,Rajasthan","Other","3.9 Tonnes","1600.00","1000.00 / 2200.00"
"Bhindi","Nabha ,Punjab","Other","0.1 Tonnes","6500.00","5000.00 / 7500.00"
"Grapes","Kangra(Nagrota Bagwan) ,Himachal Pradesh","Annabesahai","0.1 Tonnes","6250.00","5000.00 / 7500.00"
"Tapioca","Chelakkara ,Kerala","Other","0.25 Tonnes","2100.00","2000.00 / 2200.00"
"Sesame","Dhrol ,Gujarat","Other","0.8 Tonnes","7575.00","6950.00 / 8200.00"
"Bitter Gourd","Bhanjanagar ,Odisha","Bitter Gourd","0.1 Tonnes","2400.00","2200.00 / 2500.00"
"Cauliflower","Tanda(Rampur) ,Uttar Pradesh","Cauliflower","0.9 Tonnes","465.00","460.00 / 470.00"
"Brinjal","Banga ,Punjab","Other","0.2 Tonnes","1800.00","1800.00 / 1800.00"
"Bitter Gourd","Neyyatinkara ,Kerala","Bitter Gourd","0.1 Tonnes","4400.00","4300.00 / 4500.00"
"Cucumber","Aralamoodu ,Kerala","Cucumbar","0.7 Tonnes","3000.00","2000.00 / 3000.00"
"Capsicum","Perambra ,Kerala","Other","0.2 Tonnes","5500.00","5400.00 / 5600.00"
"Bhindi","Kangra ,Himachal Pradesh","Other","0.5 Tonnes","6000.00","5500.00 / 6500.00"
"Wheat","Haldaur ,Uttar Pradesh","Dara","1 Tonnes","1700.00","1650.00 / 1800.00"
"Brinjal","Aralamoodu ,Kerala","Brinjal","0.6 Tonnes","2000.00","2000.00 / 2000.00"
