"commodity","marketCenter","variety","arrrivals","modalPrice","minMaxPrice"
"Cauliflower","Chamkaur Sahib ,Punjab","Other","1.5 Tonnes","350.00","300.00 / 400.00"
"Grapes","Haathras ,Uttar Pradesh","Green","3.5 Tonnes","3500.00","3400.00 / 3600.00"
"Pineapple","Thrippunithura ,Kerala","Pine Apple","0.5 Tonnes","2600.00","2400.00 / 3000.00"
"Garlic","Nabha ,Punjab","Other","0.4 Tonnes","6200.00","5000.00 / 9000.00"
"Brinjal","Tanda(Rampur) ,Uttar Pradesh","Brinjal","0.2 Tonnes","565.00","560.00 / 570.00"
"Lemon","Gondal(Veg.market Gondal) ,Gujarat","Other","1.35 Tonnes","3500.00","2000.00 / 5000.00"
"Banana","Pulpally ,Kerala","Other","2 Tonnes","2300.00","2200.00 / 2400.00"
"Bajra","Choubepur ,Uttar Pradesh","Deshi","2.2 Tonnes","1370.00","1320.00 / 1420.00"
"Cabbage","Jhansi ,Uttar Pradesh","Cabbage","3 Tonnes","790.00","740.00 / 850.00"
"Onion","Payagpur ,Uttar Pradesh","Red","1.2 Tonnes","2800.00","2600.00  / 3100.00"
"Brinjal","Choubepur ,Uttar Pradesh","Brinjal","0.9 Tonnes","885.00","835.00 / 948.00"
"Bottle Gourd","Jhansi ,Uttar Pradesh","Bottle Gourd","2.4 Tonnes","1130.00","1080.00 / 1180.00"
"Bajra","Dhrol ,Gujarat","Other","0.1 Tonnes","1070.00","1000.00 / 1140.00"
"Cabbage","Harippad ,Kerala","Other","0.78 Tonnes","2000.00","2000.00 / 2500.00"
"Groundnut","Dhrol ,Gujarat","Other","10.3 Tonnes","5275.00","4675.00 / 5870.00"
"Barley","Choubepur ,Uttar Pradesh","Dara","1.4 Tonnes","1675.00","1625.00 / 1730.00"
"Papaya","Haathras ,Uttar Pradesh","Papaya","3 Tonnes","1500.00","1300.00 / 1600.00"
"Barley","Jhansi ,Uttar Pradesh","Dara","6 Tonnes","1440.00","1400.00 / 1500.00"
"Kinnow","Bhogpur ,Punjab","Other","0.3 Tonnes","900.00","900.00 / 900.00"
"Bhindi","Perambra ,Kerala","Other","0.2 Tonnes","4500.00","4400.00 / 4600.00"
"Bottle Gourd","Mawana ,Uttar Pradesh","Bottle Gourd","1 Tonnes","1055.00","1000.00 / 1150.00"
"Pumpkins","Haathras ,Uttar Pradesh","Pumpkin","1.5 Tonnes","900.00","800.00 / 1000.00"
"Cauliflower","Kalanaur ,Punjab","Other","0.1 Tonnes","700.00","600.00 / 800.00"
"Cabbage","Shadabad ,Uttar Pradesh","Cabbage","2.1 Tonnes","550.00","450.00 / 650.00"
"Apple","Safdarganj ,Uttar Pradesh","Delicious","0.6 Tonnes","7320.00","7270.00 / 7350.00"
"Rice","Jhansi ,Uttar Pradesh","III","16 Tonnes","2490.00","2390.00 / 2595.00"
"Carrot","Neyyatinkara ,Kerala","Other","0.1 Tonnes","3400.00","3300.00 / 3500.00"
"Bitter Gourd","Barnala ,Punjab","Other","0.03 Tonnes","6200.00","6200.00 / 6200.00"
"Bhindi","Kantabaji ,Odisha","Other","0.07 Tonnes","5000.00","4000.00 / 5000.00"
"Mustard","Badayoun ,Uttar Pradesh","Sarson(Black)","3.4 Tonnes","4630.00","4600.00 / 4670.00"
"Bitter Gourd","Hindol ,Odisha","Bitter Gourd","0.5 Tonnes","3800.00","3500.00 / 4000.00"
"Drumstick","Palayam ,Kerala","Other","5 Tonnes","11500.00","11400.00 / 11600.00"
"Gur","Lakhimpur ,Uttar Pradesh","Pathari","3600 Tonnes","2800.00","2750.00 / 2830.00"
"Grapes","Ashahipora (Anantnagh) ,Jammu and Kashmir","Green","0.8 Tonnes","6000.00","5500.00 / 6500.00"
"Capsicum","Nahan ,Himachal Pradesh","Other","0.05 Tonnes","3250.00","3000.00 / 3500.00"
"Drumstick","Kottarakkara ,Kerala","Drumstick","0.11 Tonnes","3700.00","3500.00 / 3900.00"
"Onion","Nautnava ,Uttar Pradesh","Red","1.5 Tonnes","2900.00","2800.00 / 3000.00"
"Bottle Gourd","Lakhimpur ,Uttar Pradesh","Bottle Gourd","10 Tonnes","1200.00","1170.00 / 1240.00"
"Pomegranate","Jhansi ,Uttar Pradesh","Pomogranate","2.2 Tonnes","4050.00","4000.00 / 4150.00"
"Castor Seed","Jambusar(Kaavi) ,Gujarat","Other","1 Tonnes","3800.00","3500.00 / 3900.00"
"Carrot","Mansa(Manas Veg Yard) ,Gujarat","Other","0.04 Tonnes","1100.00","1000.00 / 1200.00"
"Potato","Kathua ,Jammu and Kashmir","Other","4.9 Tonnes","900.00","800.00 / 1000.00"
"Tomato","Kathua ,Jammu and Kashmir","Other","4.9 Tonnes","2250.00","2000.00 / 2500.00"
"Pumpkins","Kottarakkara ,Kerala","Other","0.12 Tonnes","4000.00","3800.00 / 4200.00"
"Onion","Badayoun ,Uttar Pradesh","Nasik","15 Tonnes","2800.00","2750.00 / 2900.00"
"Cluster Beans","Perambra ,Kerala","Other","0.2 Tonnes","3000.00","2900.00 / 3100.00"
"Bajra","Sujangarh(Churu) ,Rajasthan","Other","2 Tonnes","1100.00","1100.00 / 1100.00"
"Gur","Shadabad ,Uttar Pradesh","Red","1.7 Tonnes","2800.00","2700.00 / 2900.00"
"Cotton","Himatnagar ,Gujarat","Cotton (Unginned)","25.6 Tonnes","5800.00","5305.00 / 6355.00"
"Kinnow","Gopiganj ,Uttar Pradesh","Kinnow","2 Tonnes","1000.00","1000.00 / 1000.00"
"Mustard","Lakhimpur ,Uttar Pradesh","Sarson(Black)","120 Tonnes","4350.00","4310.00 / 4410.00"
"Potato","Banga ,Punjab","Other","10.4 Tonnes","601.00","600.00 / 747.00"
"Potato","Mansa(Manas Veg Yard) ,Gujarat","Other","0.04 Tonnes","650.00","600.00 / 700.00"
"Tapioca","Ezhamkulam ,Kerala","Other","2 Tonnes","1600.00","1500.00 / 1600.00"
"Cabbage","Khunthabandha ,Odisha","Other","0.1 Tonnes","1400.00","1400.00 /  1600.00"
"Wheat","Rajula ,Gujarat","PISSI","2.4 Tonnes","1640.00","1525.00 / 1755.00"
"Tomato","Teliamura ,Tripura","Hybrid","0.5 Tonnes","2800.00","2500.00 / 3000.00"
"Potato","Vilthararoad ,Uttar Pradesh","Desi","15 Tonnes","1000.00","950.00 / 1100.00"
"Onion","Jhansi ,Uttar Pradesh","Red","22.5 Tonnes","2000.00","1950.00 / 2100.00"
"Potato","Choubepur ,Uttar Pradesh","Desi","123 Tonnes","680.00","630.00 / 740.00"
"Drumstick","Perambra ,Kerala","Other","0.01 Tonnes","12500.00","12300.00 / 12500.00"
"Bajra","Gangapurcity(Old Lal mandi) ,Rajasthan","Other","11.1 Tonnes","1146.00","1129.00 / 1163.00"
"Coconut","Madathukulam ,Tamil Nadu","Coconut","15.3 Tonnes","3500.00","3400.00 / 3600.00"
"Brinjal","Bhanjanagar ,Odisha","Other","0.1 Tonnes","2200.00","2000.00 / 2400.00"
"Pumpkins","Tikonia ,Uttar Pradesh","Pumpkin","0.5 Tonnes","1160.00","1140.00 / 1170.00"
"Guava","Barnala ,Punjab","Other","0.54 Tonnes","5000.00","4000.00 / 6000.00"
"Copra","Kangeyam ,Tamil Nadu","Copra","63.8 Tonnes","12700.00","12000.00 / 13500.00"
"Cauliflower","Ahmedgarh ,Punjab","Other","0.2 Tonnes","700.00","600.00 / 800.00"
"Carrot","Nahan ,Himachal Pradesh","Other","0.41 Tonnes","1100.00","1000.00 / 1200.00"
"Capsicum","Chengannur ,Kerala","Other","0.6 Tonnes","6000.00","5600.00 / 6200.00"
"Mustard Oil","Choubepur ,Uttar Pradesh","Mustard Oil","1.3 Tonnes","11300.00","11250.00 / 11350.00"
"Cucumber","Ramanagara ,Karnataka","Cucumbar","4 Tonnes","1100.00","1000.00 / 1200.00"
"Pumpkins","Safdarganj ,Uttar Pradesh","Pumpkin","0.7 Tonnes","1150.00","1109.00 / 1200.00"
"Pumpkins","Harippad ,Kerala","Other","0.57 Tonnes","1000.00","1000.00 / 1500.00"
"Chana","Gangapur City ,Rajasthan","Other","1.9 Tonnes","4213.00","4100.00 / 4325.00"
"Pumpkins","Mawana ,Uttar Pradesh","Pumpkin","0.2 Tonnes","1060.00","1020.00 / 1150.00"
"Bitter Gourd","Hindol ,Odisha","Bitter Gourd","0.5 Tonnes","3800.00","3500.00 / 4000.00"
"Maize","Choubepur ,Uttar Pradesh","Yellow","29.8 Tonnes","1340.00","1280.00 / 1400.00"
"Cauliflower","Padra ,Gujarat","Other","1.4 Tonnes","1650.00","1500.00 / 1800.00"
"Bajra","Gangapurcity(Old Lal mandi) ,Rajasthan","Other","11.1 Tonnes","1146.00","1129.00 / 1163.00"
"Lemon","Mansa(Manas Veg Yard) ,Gujarat","Other","0.01 Tonnes","4500.00","4000.00 / 5000.00"
"Garlic","Choubepur ,Uttar Pradesh","Desi","1 Tonnes","7400.00","7360.00  / 7450.00"
"Carrot","Tamkuhi Road ,Uttar Pradesh","Carrot","1 Tonnes","1425.00","1400.00 / 1450.00"
"Bhindi","Jhansi ,Uttar Pradesh","Bhindi","0.9 Tonnes","1840.00","1800.00 / 1900.00"
"Maize","Beawar ,Rajasthan","Other","3 Tonnes","1500.00","1300.00 / 1700.00"
"Cabbage","Mawana ,Uttar Pradesh","Cabbage","0.5 Tonnes","420.00","350.00 / 550.00"
"Cauliflower","Damnagar ,Gujarat","Cauliflower","0.05 Tonnes","500.00","400.00 / 600.00"
"Banana","Lakhimpur ,Uttar Pradesh","Banana - Ripe","180 Tonnes","2150.00","2100.00 / 2190.00"
"Cauliflower","Kot ise Khan ,Punjab","Other","1 Tonnes","800.00","700.00 / 900.00"
"Grapes","Barnala ,Punjab","Other","1.37 Tonnes","6650.00","3700.00 / 9600.00"
"Mustard Oil","Haathras ,Uttar Pradesh","Mustard Oil","15 Tonnes","13100.00","13000.00 /  13300.00"
"Kinnow","Nahan ,Himachal Pradesh","Other","0.3 Tonnes","1750.00","1700.00 / 1800.00"
"Cotton","Jambusar ,Gujarat","Other","0.1 Tonnes","4800.00","4600.00 / 5000.00"
"Banana","Kathua ,Jammu and Kashmir","Other","5.3 Tonnes","2900.00","2800.00 / 3000.00"
"Onion","Kangra ,Himachal Pradesh","Other","1.6 Tonnes","4550.00","4500.00 / 4600.00"
"Brinjal","Hasanpur ,Uttar Pradesh","Round/Long","0.05 Tonnes","640.00","600.00 / 680.00"
"Cabbage","Banga ,Punjab","Cabbage","1 Tonnes","467.00","400.00 / 500.00"
"Apple","Kangra ,Himachal Pradesh","Other","0.4 Tonnes","12500.00","9000.00 / 16000.00"
"Brinjal","Shahpur ,Uttar Pradesh","Round/Long","1.2 Tonnes","460.00","450.00 / 470.00"
"Papaya","Lakhimpur ,Uttar Pradesh","Papaya","25 Tonnes","1780.00","1750.00 / 1810.00"
"Gur","Nautnava ,Uttar Pradesh","Red","0.2 Tonnes","3050.00","3000.00 / 3100.00"
"Sesame","Dhoraji ,Gujarat","White","0.3 Tonnes","7630.00","6980.00 / 8030.00"
"Bajra","Himatnagar ,Gujarat","Local","2 Tonnes","1150.00","1100.00 / 1200.00"
"Cucumber","Aralamoodu ,Kerala","Cucumbar","0.7 Tonnes","3000.00","2000.00 / 3000.00"
"Cauliflower","Tilhar ,Uttar Pradesh","Cauliflower","4.2 Tonnes","300.00","250.00 / 350.00"
"Tomato","Chelakkara ,Kerala","Other","0.2 Tonnes","2300.00","2200.00 / 2400.00"
"Bhindi","Pune(Khadiki) ,Maharashtra","Other","NR","2800.00","2600.00 / 3000.00"
"Bajra","Jambusar(Kaavi) ,Gujarat","Other","1 Tonnes","1700.00","1600.00 / 1800.00"
"Masoor","Lakhimpur ,Uttar Pradesh","Masoor Gola","3.5 Tonnes","5270.00","5210.00 / 5320.00"
"Guar Seed","Himatnagar ,Gujarat","Other","1 Tonnes","3400.00","3250.00 / 3550.00"
"Tomato","Safdarganj ,Uttar Pradesh","Hybrid","0.6 Tonnes","1020.00","1000.00 / 1040.00"
"Brinjal","Chengannur ,Kerala","Brinjal","1.2 Tonnes","3000.00","2900.00 / 3200.00"
"Onion","Chhachrauli ,Haryana","Onion","0.2 Tonnes","3000.00","3000.00 / 3600.00"
"Tomato","Kottarakkara ,Kerala","Other","0.12 Tonnes","4400.00","4200.00 / 4600.00"
"Paddy","Usilampatty ,Tamil Nadu","Ponni","NR","2050.00","2000.00 / 2100.00"
"Kinnow","Kangra ,Himachal Pradesh","Other","1.4 Tonnes","2250.00","2000.00 / 2500.00"
"Banana","Shadabad ,Uttar Pradesh","Banana - Ripe","1.1 Tonnes","1940.00","1840.00 / 2040.00"
"Brinjal","Lakhimpur ,Uttar Pradesh","Round/Long","3.5 Tonnes","1180.00","1120.00 / 1230.00"
"Bajra","Dhrol ,Gujarat","Other","0.1 Tonnes","1070.00","1000.00 / 1140.00"
"Bhindi","Perambra ,Kerala","Other","0.2 Tonnes","4500.00","4400.00 / 4600.00"
"Tomato","Choubepur ,Uttar Pradesh","Deshi","1.3 Tonnes","800.00","750.00 / 850.00"
"Kinnow","Gopiganj ,Uttar Pradesh","Kinnow","2 Tonnes","1000.00","1000.00 / 1000.00"
"Apple","Badayoun ,Uttar Pradesh","Delicious","2 Tonnes","6700.00","6600.00 / 6900.00"
"Kinnow","Kathua ,Jammu and Kashmir","Kinnow","3.6 Tonnes","2200.00","1800.00 / 2600.00"
"Cluster Beans","Neyyatinkara ,Kerala","Other","0.1 Tonnes","5800.00","5600.00 / 6000.00"
"Orange","Ashahipora (Anantnagh) ,Jammu and Kashmir","Other","1.7 Tonnes","6000.00","5500.00 / 6500.00"
"Bajra","Bhehjoi ,Uttar Pradesh","Deshi","9 Tonnes","1175.00","1150.00 / 1200.00"
"Brinjal","Mansa(Manas Veg Yard) ,Gujarat","Brinjal","0.21 Tonnes","1000.00","1000.00 / 1000.00"
"Brinjal","Haathras ,Uttar Pradesh","Round/Long","0.5 Tonnes","850.00","600.00 / 1000.00"
"Ginger","Pulpally ,Kerala","Other","2 Tonnes","1450.00","1350.00 / 1550.00"
"Potato","Aralamoodu ,Kerala","Potato","0.3 Tonnes","3000.00","3000.00 / 3000.00"
"Castor Seed","Himatnagar ,Gujarat","Castor seed","22.1 Tonnes","4250.00","4200.00 / 4310.00"
"Brinjal","Chelakkara ,Kerala","Other","0.18 Tonnes","2300.00","2200.00 / 2400.00"
"Rice","Choubepur ,Uttar Pradesh","III","116 Tonnes","2230.00","2175.00 / 2280.00"
"Apple","Jhansi ,Uttar Pradesh","Delicious","3.2 Tonnes","6730.00","6680.00 / 6890.00"
"Chana","Nandikotkur ,Andhra Pradesh","Gulabi","NR","4620.00","4620.00 / 4620.00"
"Cabbage","Shahpur ,Uttar Pradesh","Cabbage","0.4 Tonnes","510.00","500.00 / 520.00"
"Carrot","Ashahipora (Anantnagh) ,Jammu and Kashmir","Other","0.9 Tonnes","2200.00","2000.00 / 2400.00"
"Cauliflower","Ahmedgarh ,Punjab","Other","0.2 Tonnes","700.00","600.00 / 800.00"
"Coconut","Oddunchairum ,Tamil Nadu","Other","1 Tonnes","2500.00","2500.00 / 3000.00"
"Carrot","Kot ise Khan ,Punjab","Other","1 Tonnes","900.00","800.00 / 1000.00"
"Cauliflower","Tanda(Rampur) ,Uttar Pradesh","Cauliflower","0.9 Tonnes","465.00","460.00 / 470.00"
"Coconut","Udumalpet ,Tamil Nadu","Other","NR","1650.00","1600.00 / 1700.00"
"Cucumber","Perambra ,Kerala","Other","0.1 Tonnes","2200.00","2100.00 / 2300.00"
"Cucumber","Shahpur ,Uttar Pradesh","Cucumbar","0.5 Tonnes","820.00","810.00 / 830.00"
"Onion","Palayam ,Kerala","Other","50 Tonnes","4900.00","4800.00 / 5000.00"
"Potato","Lakhimpur ,Uttar Pradesh","Kufri Giriraj","2000 Tonnes","700.00","670.00 / 730.00"
"Wheat","Haldaur ,Uttar Pradesh","Dara","1 Tonnes","1700.00","1650.00 / 1800.00"
"Cauliflower","Nabha ,Punjab","Other","17.3 Tonnes","200.00","100.00 / 400.00"
"Tomato","Pattikonda ,Andhra Pradesh","Local","0.1 Tonnes","368.00","232.00 / 500.00"
"Paddy","Karaikal ,Pondicherry","Common","0.01 Tonnes","1330.00","1330.00 / 1330.00"
"Carrot","Kangra ,Himachal Pradesh","Other","1.3 Tonnes","1300.00","1200.00 / 1400.00"
"Brinjal","Chengannur ,Kerala","Brinjal","1.2 Tonnes","3000.00","2900.00 / 3200.00"
"Carrot","Gondal(Veg.market Gondal) ,Gujarat","Carrot","4.38 Tonnes","500.00","200.00 /  800.00"
"Potato","Hargaon (Laharpur) ,Uttar Pradesh","Local","3 Tonnes","650.00","600.00 / 700.00"
"Onion","Hargaon (Laharpur) ,Uttar Pradesh","Nasik","1 Tonnes","2700.00","2600.00 / 2800.00"
"Cotton","Usilampatty ,Tamil Nadu","MCU 5","NR","4850.00","4800.00 / 4900.00"
"Potato","Rajasamand ,Rajasthan","Potato","4.5 Tonnes","800.00","700.00 / 900.00"
"Potato","Phillaur(Apra Mandi) ,Punjab","Other","0.4 Tonnes","600.00","500.00 / 700.00"
"Chikoos","Kangra ,Himachal Pradesh","Other","0.4 Tonnes","4150.00","3800.00 / 4500.00"
"Cabbage","Mawana ,Uttar Pradesh","Cabbage","0.5 Tonnes","420.00","350.00 / 550.00"
"Carrot","Kathua ,Jammu and Kashmir","Other","3.4 Tonnes","1200.00","1100.00 / 1300.00"
"Cabbage","Khunthabandha ,Odisha","Other","0.1 Tonnes","1400.00","1400.00 / 1600.00"
"Cauliflower","Barnala ,Punjab","Other","11.73 Tonnes","250.00","200.00 / 300.00"
"Tomato","Doraha ,Punjab","Other","1.06 Tonnes","1634.00","1200.00 / 2000.00"
"Drumstick","Padra ,Gujarat","Other","1.4 Tonnes","3400.00","2750.00 / 4000.00"
"Lemon","Nahan ,Himachal Pradesh","Other","0.08 Tonnes","4250.00","4000.00 / 4500.00"
"Tomato","Ramanagara ,Karnataka","Tomato","14 Tonnes","1000.00","800.00 / 1200.00"
"Capsicum","Shadabad ,Uttar Pradesh","Capsicum","0.4 Tonnes","2050.00","1950.00 / 2150.00"
"Wheat","Rajula ,Gujarat","PISSI","2.4 Tonnes","1640.00","1525.00 / 1755.00"
"Chana","Dhrol ,Gujarat","Other","9.6 Tonnes","4025.00","3775.00 / 4270.00"
"Paddy","Nakrekal ,Telangana","MTU-1010","0.1 Tonnes","1888.00","1888.00 / 1888.00"
"Maize","Devgadhbaria ,Gujarat","Deshi White","0.9 Tonnes","1490.00","1480.00 / 1500.00"
"Lemon","Payagpur ,Uttar Pradesh","Lemon","0.5 Tonnes","3000.00","2800.00 / 3200.00"
"Onion","Barnala ,Punjab","Other","23.61 Tonnes","3250.00","2600.00 / 3900.00"
"Grapes","Chamkaur Sahib ,Punjab","Other","0.3 Tonnes","5450.00","5400.00 / 5500.00"
"Brinjal","Gurgaon ,Haryana","Brinjal","2.8 Tonnes","900.00","800.00 / 1000.00"
"Ash Gourd","Chelakkara ,Kerala","Other","0.2 Tonnes","1700.00","1600.00 / 1800.00"
"Coconut","Dharapuram ,Tamil Nadu","Big","NR","3925.00","3165.00 / 3965.00"
"Sesame","Gangapur City ,Rajasthan","Other","35.8 Tonnes","7787.00","7173.00 / 8400.00"